Instance,Col09,Byk13,Ham13,Bat17,Lei18,Lei19,FastTA100
1,-4799.0,-4008.0,-5469.0,-3927.0,-6478.2,-5231.6,-5313.7
2,-425.0,-404.0,-450.0,-407.7,-572.9,-405.1,-409.7
3,-9251.0,-8012.0,-10444.0,-8849.5,-13680.5,-9940.1,-10091.5
4,-15821.0,-13312.0,-20241.0,-15617.8,-15493.7,-12992.5,-13011.0
5,-3072.0,-2582.0,-3185.0,-2849.0,-4155.6,-3490.4,-3470.3
6,-25935.0,-25448.0,-26150.0,-26081.4,-26873.0,-26008.5,-26135.5
7,-4187.0,-3893.0,-4568.0,-3661.6,-5844.4,-4534.7,-4515.1
8,-7599.0,-6944.0,-8081.0,-7729.5,-8942.3,-7602.6,-7671.2
9,-1071.0,-949.0,-1061.0,-991.6,-1080.3,-1017.6,-1024.2
10,-14552.0,-12985.0,-15294.0,-13999.6,-14208.7,-13631.7,-13703.7
11,-29358.0,-25194.0,-44820.0,-27781.5,-43693.6,-31792.2,-33938.1
12,-5699.0,-5181.0,-5464.0,-5550.2,-5249.0,-5204.8,-5233.0
